zipcode,zone
1001,6
1002,5
1003,5
1004,5
1005,5
1007,5
1008,5
1009,6
1010,5
1011,5
1012,5
1013,6
1014,6
1020,6
1021,6
1022,6
1026,5
1027,6
1028,6
1029,5
1030,6
1031,5
1032,5
1033,6
1034,5
1035,6
1036,6
1037,6
1038,5
1039,5
1040,6
1041,6
1050,5
1053,5
1054,5
1056,6
1057,6
1059,5
1060,6
1061,6
1062,6
1063,6
1066,5
1068,5
1069,6
1070,5
1071,5
1072,5
1073,6
1074,5
1075,6
1077,6
1079,6
1080,6
1081,6
1082,5
1083,5
1084,5
1085,6
1086,6
1088,5
1089,6
1090,6
1092,6
1093,5
1094,5
1095,6
1096,5
1097,5
1098,5
1101,6
1102,6
1103,6
1104,6
1105,6
1106,6
1107,6
1108,6
1109,6
1111,6
1115,6
1116,6
1118,6
1119,6
1128,6
1129,6
1138,6
1139,6
1144,6
1151,6
1152,6
1199,6
1201,5
1202,5
1203,5
1220,5
1222,5
1223,5
1224,5
1225,5
1226,5
1227,5
1229,5
1230,5
1235,5
1236,5
1237,5
1238,5
1240,5
1242,5
1243,5
1244,5
1245,5
1247,5
1252,5
1253,5
1254,5
1255,5
1256,5
1257,5
1258,5
1259,5
1260,5
1262,5
1263,5
1264,5
1266,5
1267,5
1270,5
1301,5
1302,5
1330,5
1331,5
1337,5
1338,5
1339,5
1340,5
1341,5
1342,5
1343,5
1344,5
1346,5
1347,5
1349,5
1350,5
1351,5
1354,5
1355,5
1360,5
1364,5
1366,5
1367,5
1368,5
1370,5
1373,6
1375,5
1376,5
1378,5
1379,5
1380,5
1420,5
1430,5
1431,5
1432,6
1434,5
1436,5
1438,5
1440,5
1441,5
1450,5
1451,6
1452,5
1453,5
1460,6
1462,5
1463,5
1464,6
1467,6
1468,5
1469,5
1470,5
1471,5
1472,5
1473,5
1474,5
1475,5
1501,5
1503,6
1504,6
1505,6
1506,5
1507,6
1508,6
1509,6
1510,6
1515,5
1516,6
1518,5
1519,6
1520,6
1521,6
1522,6
1523,6
1524,6
1525,6
1526,5
1527,5
1529,6
1531,5
1532,6
1534,6
1535,6
1536,6
1537,5
1538,6
1540,5
1541,6
1542,6
1543,6
1545,6
1546,6
1550,6
1560,6
1561,6
1562,5
1564,5
1566,6
1568,6
1569,6
1570,6
1571,6
1581,6
1583,6
1585,5
1586,5
1588,6
1590,6
1601,5
1602,5
1603,5
1604,6
1605,6
1606,6
1607,5
1608,5
1609,6
1610,5
1611,6
1612,6
1613,5
1614,5
1615,5
1653,6
1655,6
1701,6
1702,6
1703,6
1704,6
1705,6
1718,6
1719,6
1720,6
1721,6
1730,6
1731,6
1740,6
1741,6
1742,6
1745,6
1746,6
1747,6
1748,6
1749,6
1752,6
1754,6
1756,6
1757,6
1760,6
1770,6
1772,6
1773,6
1775,6
1776,6
1778,6
1784,6
1801,6
1803,6
1805,6
1810,6
1812,6
1813,6
1815,6
1821,6
1822,6
1824,6
1826,6
1827,5
1830,6
1831,6
1832,6
1833,6
1834,6
1835,6
1840,6
1841,6
1842,6
1843,6
1844,6
1845,6
1850,6
1851,6
1852,6
1853,6
1854,6
1860,6
1862,6
1863,6
1864,6
1865,6
1866,6
1867,6
1876,6
1879,6
1880,6
1885,6
1886,6
1887,6
1888,6
1889,6
1890,6
1899,6
1901,6
